time,speed,alt,satellites
11361620,89.89608,21570,9
11361630,89.89608,21560,9
11361640,89.89608,21550,9
11361650,91.7666,21550,9
11361660,92.137,21540,9
11361670,92.95188,21530,9
11361680,93.54452,21520,9
11361690,94.15568000000002,21520,9
11361700,94.80388,21510,9
11361710,95.378,21500,9
11361720,96.19288,21490,9
11361730,97.06332,21480,9
11361740,97.73004000000002,21480,9
11361750,98.50788,21470,9
11361760,99.50796,21460,9
11361770,100.35988,21450,9
11361780,101.13772,21440,9
11361790,102.10076000000001,21430,9
11361800,103.17492,21420,9
11361810,104.23056000000001,21410,9
11361820,105.101,21400,9
11361830,106.027,21390,9
11361840,107.28636,21380,9
11361850,108.36052000000001,21370,9
11361860,109.56432,21370,9
11361870,110.87924,21350,8
11361880,111.52744,21340,8
11361890,112.80532,21330,8
11361900,113.65724,21320,8
11361910,114.99068000000001,21310,8
11361920,115.91668000000001,21300,8
11361930,116.91676000000001,21290,8
11361940,117.86128000000001,21280,9
11361950,117.86128000000001,21250,8
11361960,120.12072,21250,8
11361970,121.08376,21250,9
11361980,122.21347999999999,21240,8
11361990,123.21356,21230,8
11362000,124.32476,21220,8
11362010,125.23224000000002,21200,8
11362020,126.38047999999999,21190,8
11362030,127.39908000000001,21180,8
11362040,128.56584,21170,8
11362050,129.5474,21160,8
11362060,130.6586,21150,8
11362070,131.56608000000003,21130,9
11362080,132.56616,21120,9
11362090,133.7144,21110,9
11362100,134.67744000000002,21100,9
11362110,135.89976,21090,9
11362120,136.89984,21080,9
11362130,138.12216,21070,9
11362140,139.21484,21060,8
11362150,140.17788000000002,21040,8
11362160,141.43724,21030,7
11362170,142.40028,21010,7
11362180,143.34480000000002,21000,7
11362190,144.49304,20990,7
11362200,145.58572,20980,7
11362210,146.65988000000002,20960,7
11362220,147.45624,20950,7
11362230,148.86375999999998,20940,7
11362240,149.62308000000002,20920,7
11362250,151.0306,20910,7
11362260,151.7714,20890,7
11362270,152.82704,20880,7
11362280,153.8086,20870,7
11362290,155.04944,20860,7
11362300,155.80876,20850,7
11362310,156.90144,20830,7
11362320,158.04968000000002,20820,7
11362330,159.06828000000002,20810,7
11362340,159.86464,20790,8
11362350,160.95732,20790,8
11362360,161.90184000000002,20770,8
11362370,162.88340000000002,20750,8
11362380,163.88348,20740,8
11362390,164.66132,20730,8
11362400,165.49472,20710,8
11362410,166.53184000000002,20710,8
11362420,167.58748,20690,8
11362430,168.86536,20670,8
11362440,169.21724,20660,8
11362450,170.4766,20640,8
11362460,170.58772000000002,20630,8
11362470,170.34696000000002,20610,8
11362480,170.43956,20610,8
11362490,170.12472,20580,8
11362500,170.0136,20570,8
11362510,169.84691999999998,20560,8
11362520,169.77284,20540,8
11362530,169.75432,20530,8
11362540,169.47652000000002,20510,8
11362550,169.27280000000002,20500,8
11362560,168.88388,20500,8
11362570,168.92092,20470,8
11362580,169.19872,20460,8
11362590,169.21724,20450,8
11362600,169.38392,20440,8
11362610,169.43948,20430,8
11362620,169.56912000000003,20410,8
11362630,169.80988,20410,8
11362640,169.82840000000002,20390,8
11362650,169.95804,20380,8
11362660,170.08768,20370,8
11362670,170.64328,20370,8
11362680,170.73588,20360,8
11362690,171.05072,20350,8
11362700,171.32852000000003,20340,8
11362710,171.82856,20330,8
11362720,171.97672,20320,8
11362730,171.58780000000002,20310,8
11362740,172.73604,20310,8
11362750,172.84716,20300,8
11362760,172.75456,20300,8
11362770,173.21756000000002,20290,8
11362780,173.36572,20290,8
11362790,173.66204,20280,8
11362800,173.9028,20280,8
11362810,174.1806,20280,8
11362820,174.38432,20270,8
11362830,174.58804,20270,8
11362840,174.90288,20270,8
11362850,174.93992,20270,8
11362860,174.58804,20270,8
11362870,174.47692,20270,8
11362880,174.16208000000003,20270,8
11362890,173.86576,20270,8
11362900,173.77316000000002,20270,8
11362910,173.36572,20270,8
11362920,173.38424,20270,8
11362930,173.10644000000002,20270,8
11362940,172.84716,20270,8
11362950,172.55084000000002,20270,8
11362960,172.36563999999998,20270,8
11362970,172.06932,20270,8
11362980,172.10636000000002,20270,8
11362990,171.45816,20270,8
11363000,171.51372,20270,8
11363010,170.99516,20270,8
11363020,170.95812,20270,8
11363030,170.68032,20270,8
11363040,170.45808000000002,20270,8
11363050,170.08768,20270,8
11363060,169.93952000000002,20270,8
11363070,169.93952000000002,20270,8
11363080,169.38392,20270,8
11363090,169.05056000000002,20270,8
11363100,168.995,20270,9
11363110,168.58756,20270,9
11363120,168.42088,20270,9
11363130,168.03196000000003,20270,9
11363140,167.8838,20270,9
11363150,167.82824000000002,20270,9
11363160,167.36524000000003,20270,9
11363170,167.36524000000003,20270,9
11363180,166.97632000000002,20270,9
11363190,166.62444,20270,9
11363200,166.4022,20270,9
11363210,166.36516,20270,9
11363220,165.97624000000002,20270,9
11363230,165.73548,20270,9
11363240,165.66140000000001,20270,9
11363250,165.34656,20270,9
11363260,165.01319999999998,20270,9
11363270,165.05024000000003,20270,9
11363280,164.4576,20270,9
11363290,164.365,20270,9
11363300,164.365,20270,9
11363310,163.92052,20270,9
11363320,163.77236000000002,20270,9
11363330,163.66124000000002,20270,9
11363340,163.32788,20280,9
11363350,163.01304,20280,9
11363360,162.976,20280,9
11363370,162.43892,20280,9
11363380,162.49448,20280,9
11363390,162.08704,20280,9
11363400,161.79072,20280,9
11363410,161.58700000000002,20280,9
11363420,161.62404,20280,9
11363430,161.23512000000002,20280,9
11363440,161.08696,20280,9
11363450,160.79064,20280,9
11363460,160.42024,20280,9
11363470,160.47580000000002,20280,9
11363480,160.14244,20280,9
11363490,159.84612,20280,9
11363500,159.66092,20280,9
11363510,159.43868,20280,9
11363520,159.06828000000002,20280,9
11363530,158.95716000000002,20280,9
11363540,158.71640000000002,20280,9
11363550,158.4386,20280,9
11363560,158.19784,20280,9
11363570,158.03116,20280,9
11363580,157.77188,20290,9
11363590,157.5126,20280,9
11363600,157.3274,20280,9
11363610,156.97552000000002,20290,9
11363620,156.91996,20290,9
11363630,156.69772,20290,9
11363640,156.38288,20290,9
11363650,156.29028,20290,9
11363660,156.08656000000002,20290,8
11363670,155.79024,20290,8
11363680,155.4754,20290,8
11363690,155.36428,20290,8
11363700,155.16056,20290,8
11363710,154.86424000000002,20290,8
11363720,154.67904,20290,8
11363730,154.32716,20290,8
11363740,154.3642,20290,8
11363750,153.99380000000002,20290,8
11363760,153.93824,20290,8
11363770,153.56784000000002,20290,8
11363780,153.38263999999998,20290,8
11363790,153.23448,20290,8
11363800,153.01224000000002,20290,9
11363810,152.75296,20290,9
11363820,152.64184,20290,9
11363830,152.19736000000003,20290,9
11363840,152.17884,20290,9
11363850,151.93808,20290,9
11363860,151.62324,20290,9
11363870,151.51212,20290,9
11363880,151.19728,20290,9
11363890,151.17876,20300,9
11363900,150.8454,20300,9
11363910,150.60464,20300,9
11363920,150.41944,20290,9
11363930,150.25276,20290,9
11363940,150.16016,20300,9
11363950,149.60456000000002,20290,9
11363960,149.71568000000002,20300,9
11363970,149.38232,20300,9
11363980,149.23416,20300,9
11363990,148.9934,20300,9
11364000,148.73412000000002,20300,9
11364010,148.64152,20300,9
11364020,148.36372,20300,9
11364030,148.32668,20300,9
11364040,147.93776,20300,9
11364050,147.91924,20300,9
11364060,147.67848,20300,9
11364070,147.40068000000002,20300,9
11364080,147.45624,20300,9
11364090,147.06732,20300,9
11364100,146.93768,20300,9
11364110,146.64136000000002,20300,9
11364120,146.4932,20300,9
11364130,146.43764,20300,9
11364140,145.99316000000002,20300,9
11364150,145.97464,20300,9
11364160,145.67832,20300,9
11364170,145.4746,20300,9
11364180,145.56719999999999,20300,9
11364190,145.19680000000002,20300,9
11364200,144.95604,20300,9
11364210,144.86344,20300,9
11364220,144.75232,20300,9
11364230,144.43748,20300,9
11364240,144.23376,20300,9
11364250,144.30784,20300,9
11364260,143.82632,20300,9
11364270,143.82632,20300,9
11364280,143.6226,20300,9
11364290,143.36332,20300,9
11364300,143.32628,20300,9
11364310,142.90032,20300,9
11364320,142.80772000000002,20300,9
11364330,142.604,20300,9
11364340,142.40028,20300,9
11364350,142.3262,20300,9
11364360,142.17804,20300,9
11364370,141.91876,20300,9
11364380,141.75208,20300,9
11364390,141.56688,20300,9
11364400,141.41872,20300,9
11364410,141.15944000000002,20300,9
11364420,141.06684,20300,9
11364430,140.80756,20300,9
11364440,140.60384000000002,20300,9
11364450,140.4742,20300,9
11364460,140.30752,20300,9
11364470,140.12232,20300,9
11364480,139.99268,20300,9
11364490,139.65932,20300,9
11364500,139.58524000000003,20300,9
11364510,139.43708,20300,9
11364520,139.19632000000001,20300,9
11364530,139.21484,20300,9
11364540,138.8074,20300,9
11364550,138.51108000000002,20300,9
11364560,138.58516,20300,9
11364570,138.3444,20300,9
11364580,138.25180000000003,20300,9
11364590,137.99252,20300,9
11364600,137.82584,20300,9
11364610,137.65916,20300,9
