time,speed
11200910,46.9
11200920,47.2
11200930,47.8
11200940,47.8
11200950,48.5
11200960,48.8
11200970,49.6
11200980,50
11200990,50.4
11201000,51.4
11201010,51.8
11201020,52.1
11201030,53.2
11201040,53.7
11201050,54.5
11201060,55.2
11201070,56.1
11201080,56.7
11201090,57.5
11201100,58.1
11201110,59.2
11201120,59.9
11201130,60.4
11201140,61.6
11201150,62.3
11201160,63.2
11201170,64.5
11201180,65.3
11201190,65.9
11201200,67.4
11201210,68.2
11201220,69.2
11201230,70.4
11201240,71.6
11201250,72.7
11201260,74
11201270,75.3
11201280,76.6
11201290,78
11201300,79.6
11201310,80.9
11201320,82
11201330,83.7
11201340,85
11201350,86.2
11201360,87.4
11201370,89.1
11201380,90.2
11201390,91.9
11201400,93.3
11201410,94.8
11201420,96.2
11201430,97.6
11201440,98.7
11201450,100.4
11201460,101.8
11201470,103.3
11201480,104.8
11201490,106.3
11201500,107.7
11201510,109.1
11201520,110.4
11201530,112
11201540,113.2
11201550,114.7
11201560,116.2
11201570,117.5
11201580,118.9
11201590,120.1
11201600,121.6
11201610,122.9
11201620,124.1
11201630,125.4
11201640,126.9
11201650,128
11201660,129.1
11201670,130.4
11201680,131.8
11201690,133
11201700,134.3
11201710,135.4
11201720,136.9
11201730,137.8
11201740,139
11201750,140.3
11201760,141.3
11201770,142.3
11201780,143.3
11201790,144.4
11201800,145.7
11201810,146.7
11201820,147.7
11201830,148.8
11201840,150.2
11201850,151.2
11201860,152.4
11201870,153.3
11201880,154.4
11201890,155.4
11201900,156.3
11201910,157.5
11201920,158.3
11201930,159.3
11201940,160.4
11201950,161.3
11201960,162.2
11201970,163.1
11201980,164.2
11201990,164.8
11202000,165.7
11202010,166.5
11202020,166.9
