time,speed,alt,satellites
15345790,72.83916,20570,12
15345800,72.691,20570,12
15345810,72.72804000000001,20560,12
15345820,73.09844,20550,12
15345830,73.2466,20550,12
15345840,72.76508,20540,12
15345850,73.04288,20530,12
15345860,73.17252,20520,12
15345870,73.22808,20520,12
15345880,72.691,20510,12
15345890,73.13548,20500,12
15345900,72.59840000000001,20500,12
15345910,72.65396,20490,12
15345920,72.39468000000001,20490,12
15345930,72.3206,20480,12
15345940,72.09836,20480,12
15345950,72.15392,20470,12
15345960,71.96872,20460,12
15345970,71.74648,20460,12
15345980,72.06132,20450,12
15345990,71.67240000000001,20450,12
15350000,71.54276,20440,12
15350010,71.52423999999999,20430,12
15350020,71.45016,20430,12
15350030,71.3946,20420,12
15350040,71.46868,20420,12
15350050,71.15384,20410,12
15350060,71.09828,20400,12
15350070,70.9316,20400,12
15350080,71.28348000000001,20390,12
15350090,71.26496,20390,12
15350100,71.13532,20380,12
15350110,71.00568000000001,20370,12
15350120,71.41312,20370,12
15350130,71.1168,20360,12
15350140,71.33904000000001,20360,12
15350150,71.41312,20350,12
15350160,71.61684000000001,20350,12
15350170,71.98724,20340,12
15350180,71.82056,20330,12
15350190,71.83908,20330,12
15350200,72.3206,20330,12
15350210,72.15392,20320,12
15350220,72.19096,20320,12
15350230,72.46876,20310,12
15350240,72.15392,20310,12
15350250,72.87620000000001,20300,12
15350260,72.59840000000001,20300,12
15350270,72.65396,20290,12
15350280,72.95028,20290,12
15350290,73.04288,20280,12
15350300,73.4318,20280,12
15350310,73.15400000000001,20270,12
15350320,73.2466,20270,12
15350330,73.56144,20260,12
15350340,73.39476,20260,12
15350350,73.74664,20250,12
15350360,73.95036,20250,12
15350370,73.91332,20240,12
15350380,74.04296,20240,12
15350390,74.04296,20230,12
15350400,74.13556000000001,20230,12
15350410,74.41336,20230,12
15350420,74.33928,20220,12
15350430,74.59856,20220,12
15350440,74.65412,20220,12
15350450,74.543,20210,12
15350460,74.89488,20210,12
15350470,74.87636,20210,12
15350480,74.96896,20210,12
15350490,75.006,20200,12
15350500,74.91340000000001,20200,12
15350510,75.70976,20200,12
15350520,75.26528,20200,12
15350530,75.33936,20200,12
